Volgorde (spotify),ID,Track Name,Artist Name,Afgespeeld,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
52,73,American Woman,Lenny Kravitz,,Greatest Hits,1,8,261706,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
53,70,Remember the Name,"Fort Minor, Styles Of Beyond",,The Rising Tied,1,2,230493,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
54,83,Scatman (Ski-Ba-Bop-Ba-Dop-Bop),Scatman John,,Fetenkult - Best Of The 90's,1,11,215933,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
55,101,Under the Bridge,Red Hot Chili Peppers,,Blood Sugar Sex Magik (Deluxe Edition),1,11,264306,spotify:user:florisdenhengst,2019-09-03T08:57:31Z
56,148,Enter Sandman,Metallica,,Metallica,1,1,331573,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
57,115,Dreams (Will Come Alive),2 Brothers On The 4th Floor,,Dreams,1,1,263162,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
58,13,Smack My Bitch Up,The Prodigy,,The Fat of the Land,1,1,342733,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
59,14,‘S Avonds Bloeit De Liefde Op,"B.B. Queen, Door van Boeckel, David Verbeek, Jurrian van Dongen, Ryan van den Akker",,De Leeuwekoning Speciale Uitvoering,1,5,177826,spotify:user:florisdenhengst,2019-09-03T08:46:04Z
60,67,Larger Than Life,Backstreet Boys,,The Hits--Chapter One,1,7,232666,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
61,12,Niet Of Nooit Geweest,Acda en de Munnik,,Naar Huis,1,2,242493,spotify:user:florisdenhengst,2019-09-03T09:01:52Z
62,125,Aquarius,Party Animals,,Gang Of 4,1,4,189480,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
63,38,Narcotic,Liquido,,Narcotic,1,1,236150,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
64,24,Sweat (A La La La La Long),Inner Circle,,Blazzin' Fire,1,2,227067,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
65,85,Jump Around,House Of Pain,,House Of Pain (US Release),1,2,214946,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
66,159,Mambo No. 5 (A Little Bit of...),Lou Bega,,King of Mambo,1,1,219600,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
67,140,Around the World,Daft Punk,,Homework,1,7,429533,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
68,8,"Boom, Boom, Boom, Boom!!",Vengaboys,,"Boom, Boom, Boom, Boom!!",1,1,201840,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
69,152,De Levenscyclus,B.B. Queen,,De Leeuwekoning Speciale Uitvoering,1,1,239213,spotify:user:florisdenhengst,2019-09-03T08:45:37Z
70,36,Sex on the Beach,T-Spoon,,The Hit Collection,1,1,226000,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
71,98,My Favourite Game,The Cardigans,,Best Of,1,10,220413,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
72,42,Breakfast At Tiffany's,Deep Blue Something,,True Power-Ballads / 3CD set,1,2,258399,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
73,157,I Want It That Way,Backstreet Boys,,The Hits--Chapter One,1,1,213600,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
74,89,Bailando,Paradisio,,Tarpeia,1,1,229333,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
75,1,As Long as You Love Me,Backstreet Boys,,Backstreet's Back,1,2,221106,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
76,53,Show Me the Meaning of Being Lonely,Backstreet Boys,,The Hits--Chapter One,1,4,234893,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
77,103,The Call,Backstreet Boys,,The Hits--Chapter One,1,9,203826,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
78,23,We've Got It Goin' On,Backstreet Boys,,Backstreet Boys,1,1,219466,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
79,88,King Of My Castle,Wamdue Project,,True 90s (3 CD Set),1,14,206173,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
80,124,Honor To Us All,"Lea Salonga, Beth Fowler, Marni Nixon, Chorus - Mulan",,Mulan Original Soundtrack,1,3,183680,spotify:user:florisdenhengst,2019-09-03T08:53:28Z
81,82,Paranoid Android,Radiohead,,OK Computer,1,2,387213,spotify:user:florisdenhengst,2019-09-03T09:18:23Z
82,102,I Like To Move It,"Reel 2 Real, The Mad Stuntman, Visnadi, Alex Natale DJ",,I Like to Move It (feat. The Mad Stuntman) [2010 Mixes],1,2,221951,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
83,20,Boombastic,Shaggy,,Boombastic,1,2,249933,spotify:user:florisdenhengst,2019-09-03T09:22:42Z
84,27,Captain Jack,Captain Jack,,Nº1 90's Vol.5,1,8,248666,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
85,158,Boombastic,Shaggy,,The Best Of Shaggy,1,1,250200,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
86,80,Everybody (Backstreet's Back),Backstreet Boys,,Backstreet Boys,1,4,287293,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
87,123,Freestyler,Bomfunk MC's,,Party Hits,1,6,172733,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
88,59,No Good (Start the Dance),The Prodigy,,Music for the Jilted Generation,1,9,377893,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
89,110,Whoomp! (There It Is),Tag Team,,Whoomp! (There It Is),1,1,225266,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
90,49,We’re Going to Ibiza!,Vengaboys,,We're Going to Ibiza!,1,1,216360,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
91,45,Shine,Aswad,,Reggae Warriors: The Best Of Aswad,1,3,219866,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
92,51,Thunderstruck,AC/DC,,The Razors Edge,1,1,292880,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
93,100,Show Me Love,Robin S,,Show Me Love,1,1,252106,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
94,91,Come Take My Hand,2 Brothers On The 4th Floor,,2,1,1,314066,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
95,48,All I Wanna Do,Sheryl Crow,,Tuesday Night Music Club,1,9,272106,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
96,114,Firestarter,The Prodigy,,The Fat of the Land,1,8,279800,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
97,107,Have You Ever Been Mellow,Party Animals,,Happy Hardcore Top 100,1,2,188003,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
98,52,Song 2,Blur,,Blur: The Best Of,1,2,121880,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
99,120,Believe,Cher,,Believe,1,1,239026,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
100,56,Fight For Your Right,Beastie Boys,,Licensed To Ill,1,7,207400,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
101,90,Highway to Hell,AC/DC,,Highway to Hell,1,1,208400,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
102,151,Ice Ice Baby,Vanilla Ice,,Vanilla Ice Is Back! - Hip Hop Classics,1,1,254466,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
103,109,Blue (Da Ba Dee),Eiffel 65,,Europop,1,4,283747,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
104,106,The Sign,Ace of Base,,Greatest Hits,1,1,189786,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
105,128,Casanova,Ultimate Kaos,,Foute CD Van Q-Music 8,1,4,229880,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
106,86,The Rhythm of the Night,Corona,,The Rhythm of the Night,1,8,264280,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
107,92,Miami,Will Smith,,Big Willie Style,1,8,197416,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
108,28,Wonderfull Days,Charly Lownoise & Mental Theo,,Qmusic Top 500 van de 90's - deel 1 (2014),1,8,224266,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
109,47,Back for Good,Take That,,Nobody Else (Deluxe),1,2,242266,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
110,111,Self Esteem,The Offspring,,Smash,1,8,257826,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
111,43,The Joker,Steve Miller Band,,The Joker,1,5,264503,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
112,142,9Pm (Till I Come),ATB,,Movin' Melodies,1,5,193880,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
